,Date,Open,High,Low,Close,Volume
0,12:00,177.76,177.79,177.74,177.77,1023
1,12:01,177.77,177.77,177.71,177.73,368
2,12:02,177.73,177.73,177.73,177.73,1
3,12:03,177.78,177.79,177.72,177.78,116
4,12:04,177.77,177.78,177.72,177.77,286
5,12:05,177.77,177.77,177.77,177.77,3
6,12:06,177.77,177.8,177.76,177.8,877
7,12:07,177.76,177.8,177.75,177.8,161
8,12:08,177.79,177.79,177.75,177.78,267
9,12:09,177.77,177.79,177.72,177.74,891
10,12:10,177.73,177.77,177.71,177.77,1211
11,12:11,177.78,177.78,177.78,177.78,33
12,12:12,177.79,177.82,177.77,177.79,360
13,12:13,177.79,177.8,177.74,177.8,990
14,12:14,177.76,177.79,177.75,177.79,302
15,12:15,177.79,177.82,177.79,177.82,577
16,12:16,177.82,177.84,177.8,177.84,239
17,12:17,177.82,177.82,177.79,177.81,275
18,12:18,177.81,177.81,177.8,177.81,104
19,12:19,177.82,177.85,177.81,177.85,509
20,12:20,177.82,177.82,177.82,177.82,9
21,12:21,177.82,177.83,177.82,177.83,80
22,12:22,177.82,177.82,177.82,177.82,31
23,12:23,177.82,177.83,177.82,177.83,30
24,12:24,177.83,177.89,177.83,177.89,434
25,12:25,177.87,177.87,177.87,177.87,17
26,12:26,177.86,177.86,177.82,177.85,148
27,12:27,177.84,177.89,177.84,177.89,517
28,12:28,177.89,177.93,177.87,177.89,792
29,12:29,177.88,177.88,177.88,177.88,36
30,12:30,177.88,177.9,177.86,177.89,373
31,12:31,177.87,177.9,177.82,177.9,2212
32,12:32,177.9,177.9,177.9,177.9,8
33,12:33,177.92,177.94,177.9,177.93,593
34,12:34,177.91,177.94,177.91,177.91,77
35,12:35,177.92,177.93,177.92,177.93,157
36,12:36,177.93,177.97,177.93,177.96,1144
37,12:37,177.97,178.03,177.96,178.01,1847
38,12:38,178.02,178.02,178.01,178.02,361
39,12:39,178.02,178.02,178.01,178.01,101
40,12:40,178.01,178.01,177.94,177.96,3041
41,12:41,177.97,178.0,177.95,177.98,1712
42,12:42,177.98,177.99,177.98,177.99,73
43,12:43,178.0,178.07,178.0,178.07,2115
44,12:44,178.05,178.12,178.05,178.12,964
45,12:45,178.12,178.23,178.09,178.23,3410
46,12:46,178.2,178.25,178.19,178.22,3014
47,12:47,178.21,178.21,178.17,178.17,3290
48,12:48,178.16,178.2,178.14,178.14,2727
49,12:49,178.14,178.14,178.14,178.14,502
50,12:50,178.14,178.14,178.13,178.14,40
